year,unique_statutes_changed
1957,1
1962,61
1964,1
1967,1
1971,1
1974,1
1976,1
1977,1
1979,2
1980,6
1983,1
1984,3
1985,1
1986,8
1987,4
1988,1
1989,1
1990,8
1991,4
1992,3
1993,103
1994,19
1995,28
1996,44
1997,10
1998,16
1999,16
2000,15
2001,22
2002,10
2003,9
2004,14
2005,26
2006,11
2007,15
2008,45
2009,7
2010,53
2011,9
2012,9
2013,19
2014,5
2015,15
2016,7
2017,6
2018,3
2019,2
2021,1
2022,4
2023,4
2024,9
2025,1
