year,unique_statutes_changed
1953,1
1959,1
1963,8
1965,1
1967,1
1969,1
1970,1
1974,1
1975,2
1978,2
1980,2
1984,11
1985,1
1987,3
1989,2
1990,3
1991,10
1992,2
1993,35
1994,5
1995,15
1996,62
1997,7
1998,25
1999,6
2000,21
2001,22
2002,39
2003,28
2004,97
2005,11
2006,19
2007,35
2008,30
2009,50
2011,66
2012,42
2013,21
2014,9
2015,17
2016,30
2017,9
2018,37
2019,5
2020,26
2021,2
2022,46
2023,59
