year,unique_statutes_changed
1985.0,1
1987.0,2
1989.0,4
1991.0,6
1993.0,10
1995.0,8
1997.0,3
1999.0,3
2001.0,3
2003.0,3
2004.0,3
2005.0,3
2007.0,5
2009.0,5
2011.0,5
2013.0,2
2015.0,19
2017.0,4
2019.0,10
2021.0,4
2023.0,2
