year,unique_statutes_changed
1978,1
1989,12
1990,9
1991,10
1992,9
1993,16
1994,1
1995,39
1996,25
1997,34
1998,25
1999,29
2000,38
2001,23
2002,12
2003,21
2004,19
2005,35
2006,24
2007,24
2008,31
2009,11
2010,5
2011,32
2012,10
2013,5
2014,4
2015,3
2016,9
2017,4
2018,24
2019,24
2020,1
2021,8
2022,5
2023,17
2024,8
