year,avg_min,avg_max,avg_fixed,n_statutes
1852,,,,10
1915,,,,11
1935,,,,13
1953,,,,15
1955,,,,1
1961,,,,1
1989,0.0,1375.0,,14
1990,,,,6
1991,0.0,1150.0,,2
1995,0.0,50025.0,2.766666666666667,16
1997,,,,4
1999,,,,1
2001,,,,9
2003,583.3333333333334,2833.3333333333335,,3
2005,,,,2
2007,0.0,10.0,13.7,13
2009,,,,3
2011,,,1.0,2
2012,,,25000.0,1
2013,,,,3
2014,,,,1
2015,,,15.0,4
2017,,,15.0,2
2020,0.0,100000.0,,4
2021,,,,4
2022,,,,1
2023,,,,7
